Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
1,"Connecticut   1 seed, ✅",BE,39,36-318–2,127.61,91.64,.97861,57.06,44.43,14.534,16.0247,36.612,26.672,32.3188,31.2135,59.14,43.02,36.056,31.440,40.3100,33.450,64.8325,+11.21
2,"Houston   1 seed, ❌",B12,37,32-515–3,119.615,86.51,.97672,50.3195,44.02,13.89,24.43,36.810,31.2282,30.8236,39.4316,49.2226,43.14,34.8132,30.111,36.8191,40.1282,63.5349,+9.93
3,"Purdue   1 seed, ✅",B10,38,34-417–3,126.42,94.214,.96703,56.113,47.436,16.5142,13.7341,37.86,23.913,41.613,22.24,53.457,47.451,40.62,31.649,35.2235,36.9171,67.2200,+10.72
4,"Auburn   4 seed, ❌",SEC,35,27-813–5,121.010,93.07,.95354,54.235,43.71,15.156,18.1102,32.959,30.2225,38.342,41.5335,55.122,42.91,35.2105,30.212,37.5176,33.450,70.056,+5.29
5,"Iowa St.   2 seed, ❌",B12,37,29-813–5,113.653,87.62,.95185,52.097,47.436,15.468,25.32,31.1103,29.4198,35.4102,34.8241,51.2138,47.451,35.870,31.544,31.7305,45.2354,67.4193,+6.36
6,"Arizona   2 seed, ❌",P12,36,27-915–5,120.512,93.28,.95036,54.530,48.467,16.0104,18.0110,35.618,23.36,36.483,25.926,54.437,47.762,36.633,32.9113,33.4281,37.9208,72.315,+4.910
7,"Tennessee   2 seed, ❌",SEC,36,27-914–4,115.931,90.43,.94587,51.1147,45.35,14.534,18.579,32.275,28.2138,33.7147,35.7260,50.8151,44.38,34.4152,31.233,41.279,41.1301,69.284,+5.67
8,"Duke   4 seed, ❌",ACC,36,27-915–5,121.29,95.419,.94008,54.628,48.678,14.431,16.9174,32.077,25.953,34.3132,28.166,53.555,49.0108,37.713,31.853,37.5176,34.781,66.5247,+3.515
9,"North Carolina   1 seed, ❌",ACC,37,29-817–3,119.218,94.215,.93699,51.5126,46.718,14.119,14.8310,33.058,23.710,36.288,28.269,50.2178,46.023,35.962,32.061,36.1211,35.8119,70.547,+7.04
10,"Creighton   3 seed, ❌",BE,35,25-1014–6,121.68,97.132,.930310,57.33,46.311,15.468,11.0362,26.1273,24.927,24.7352,16.01,59.23,45.515,36.825,32.378,48.58,27.96,66.7233,+4.313
11,"Marquette   2 seed, ❌",BE,37,27-1014–6,118.520,94.916,.928211,55.020,49.8133,14.327,21.119,25.7285,30.8266,25.5344,26.938,56.612,49.3124,35.2105,33.7162,41.184,42.8335,69.190,+6.55
12,"Gonzaga   5 seed, ❌",WCC,34,27-814–2,123.55,99.056,.927212,57.06,47.332,14.015,16.1241,33.251,27.7111,30.7240,25.219,58.37,45.113,36.243,34.1195,31.3312,36.6148,68.8104,+2.423
13,"Illinois   3 seed, ❌",B10,38,29-914–6,125.74,101.091,.925313,53.648,48.046,15.051,12.3360,35.618,26.364,37.168,26.733,54.437,46.836,34.9125,34.1195,38.6142,28.37,69.768,+5.68
14,"Alabama   4 seed, ❌",SEC,37,25-1213–5,126.03,102.5121,.915514,56.310,49.7127,15.995,15.2294,34.925,30.9271,35.3106,38.8307,56.710,50.9199,37.319,31.751,46.519,37.2183,72.414,+3.316
15,"Saint Mary's   5 seed, ❌",WCC,33,26-815–1,115.335,94.111,.912515,52.867,45.14,16.0104,16.7189,38.73,22.31,28.0304,33.4201,52.781,43.85,35.398,32.378,36.8191,29.28,62.5357,+1.435
17,"Baylor   3 seed, ❌",B12,34,24-1111–7,122.57,100.988,.902917,55.714,51.4233,17.7216,17.0164,35.024,26.989,40.222,31.2135,53.555,52.1257,39.54,33.4142,38.9133,35.4103,65.9276,+4.512
18,"Michigan St.   9 seed, ❌",B10,35,20-1510–10,113.455,93.49,.902518,51.6121,48.046,15.051,18.579,29.8139,28.5148,29.3272,32.4176,50.5164,47.451,36.243,32.696,30.5323,41.6311,65.4306,-0.1456
19,"Clemson   6 seed, ❌",ACC,36,24-1211–9,117.623,97.433,.897919,53.944,48.256,14.843,13.9337,27.2240,26.672,30.7240,32.1165,54.633,47.147,35.1112,33.1126,39.9108,41.1301,66.3258,+1.041
19,"Texas   7 seed, ❌",B12,34,21-139–9,116.629,96.525,.897919,53.064,48.154,16.9174,18.864,29.9134,30.1222,30.2254,34.0221,53.170,47.044,35.492,33.5147,34.9247,32.943,67.4191,+0.747
21,"Kansas   4 seed, ❌",B12,33,23-1110–8,113.751,94.213,.897121,53.550,48.360,16.5142,16.5206,25.7285,26.570,32.5184,28.576,54.730,45.820,33.6194,34.6233,29.8334,41.0296,69.093,+3.814
22,"Florida   7 seed, ❌",SEC,36,24-1211–7,120.511,100.177,.893822,51.8109,49.3106,15.784,14.5316,37.38,28.8168,38.440,34.8241,51.8112,49.5136,34.5144,32.696,34.5258,32.436,71.819,+2.820
23,"Wisconsin   5 seed, ❌",B10,36,22-1411–9,118.919,99.158,.890523,52.288,52.0259,14.947,16.9174,30.2121,24.518,33.8146,33.8214,52.293,50.2166,34.9125,36.9336,35.5226,34.374,65.3309,+3.018
24,"Colorado   10 seed, ❌",P12,37,26-1113–7,118.321,98.645,.890324,55.415,49.7127,18.1249,15.2294,32.077,24.722,35.1111,27.347,54.040,50.6180,39.16,32.166,30.6322,35.296,67.7170,+1.730
25,"BYU   6 seed, ❌",B12,34,23-1110–8,119.814,99.970,.889825,54.823,48.256,15.364,16.0247,32.865,24.621,25.4345,32.0161,57.58,48.384,34.8132,32.061,50.44,34.065,69.189,+2.325
26,"Nebraska   8 seed, ❌",B10,34,23-1112–8,116.030,96.828,.889126,53.161,46.718,15.893,16.2228,27.6219,30.3229,32.6181,27.758,52.878,45.214,35.773,32.589,44.332,41.4308,69.097,+2.027
27,"Kentucky   3 seed, ❌",SEC,33,23-1013–5,122.76,102.6124,.886527,57.24,49.6123,14.223,15.9256,28.9170,30.3229,30.4246,33.5204,54.730,49.4131,40.91,33.2132,37.5176,40.1282,72.513,+2.819
28,"San Diego St.   5 seed, ❌",MWC,35,26-1111–7,111.971,94.112,.880128,49.9220,47.332,16.2114,18.1102,32.769,28.7163,36.777,33.1192,51.5124,47.869,31.5296,31.029,38.0157,40.3285,66.2263,+2.226
29,"New Mexico   11 seed, ❌",MWC,35,26-1010–8,113.948,96.023,.877529,50.5183,48.154,14.015,19.349,33.543,27.096,33.2158,33.4201,51.1143,49.2119,32.7241,30.721,29.9330,36.5143,72.910,+1.533
31,"Texas A&M   9 seed, ❌",SEC,36,21-159–9,117.722,100.071,.867031,45.7340,50.5180,14.119,16.7189,42.21,27.9123,38.638,31.9156,46.8310,50.3171,29.3342,33.8166,37.7167,44.9351,66.1265,-0.0555
